name;province
Minews.id;Jakarta
Mediajabar.com;Jawa Barat
Pojoksatu.id;Jawa Barat
Tribunjabar.co.id;Jawa Barat
Jabarnews.com;Jawa Barat
Radarsukabumi;Jawa Barat
Jatengtoday.com;Jawa Tengah
solopos.com;Jawa Tengah
Tribunjogja.com;Yogyakarta
Harianjogja.com;Yogyakarta
Beritajatim.com;Jawa Timur
Timesindonesia.co.id;Jawa Timur
https://fixsnews.co.id/;Banten
BeritaSumut.com;Sumatera Utara
KabarMedan.com;Sumatera Utara
Tribunsumsel.com;Sumatera Selatan
Makassar.tribunnews.com;Sumatera Selatan
Rakyatku.com;Sumatera Selatan
Sumbarsatu.com;Sumatera Barat
Kabarsumbar.com;Sumatera Barat
Covesia.com;Sumatera Barat
sakanews.com;Lampung
Riauterkini.com;Riau
Tribunpekanbaru.com;Riau
Riau.antaranews.com;Riau
https://lensabangkabelitung.com/;Kepulauan Bangka Belitung
https://indonesiainteraktif.com/;Bengkulu
jambiprima.com;Jambi
Suarakalbar.co.id;Kalimantan Barat
Antarakalbar.com;Kalimantan Barat
Suaraindo.id;Kalimantan Barat
https://rakyatkaltara.prokal.co/;Kalimantan Utara
banuatoday.com;Kalimantan Selatan
Suarabalikpapan.com;Kalimantan Timur
Harianjurnal.com;Kalimantan Timur
kaltim.tribunnews.com;Kalimantan Timur
Kaltim.antaranews.com;Kalimantan Timur
KabarIKN.com;Kalimantan Timur
Tribunkaltim.co;Kalimantan Timur
Harianjurnal.com;Kalimantan Timur
Tribunkaltim.co;Kalimantan Timur
Beritainspiratif.com;Kalimantan Timur
Kabarpost.com;Sulawesi Utara
Beritamanado.com;Sulawesi Utara
Beritakawanua.com;Sulawesi Utara
Makassar.terkini.id;Sulawesi Selatan
http://mandarnews.com/;Sulawesi Barat
https://sultrakini.com/;Sulawesi Tenggara
terasmaluku.com;Maluku
http://indotimur.com/;Maluku Utara
https://www.victorynews.id/;Nusa Tenggara Timur
Postkotantb.com;Nusa Tenggara Barat
Suarapapua.com;Papua
Kabarpapua.co;Papua
Papuasatu.com;Papua
Seputarpapua.com;Papua
Salampapua.com;Papua
Lintaspapua.com;Papua
Jubi.id;Papua
Gorontalopost.id;Gorontalo
Beritabali.com;Bali
Acehsatu.com;Nanggroe Aceh Darussalam
Batamnews.co.id;Kepulauan Riau
SultengTerkini.Id;Sulawesi Tengah
Kaltengtoday.com;Kalimantan Tengah
suaramandiri.co;Papua Barat



